25-03-07 17:45:15.115 [main] INFO  n.e.journalApp.JournalApplication - Starting JournalApplication using Java 22.0.1 on DESKTOP-5SMSKLT with PID 12520 (C:\Akash\IntelliJIdeaI\Projects\journalAppAugust\target\classes started by aryson in C:\Akash\IntelliJIdeaI\Projects\journalAppAugust) 
25-03-07 17:45:15.134 [main] INFO  n.e.journalApp.JournalApplication - The following 1 profile is active: "dev" 
25-03-07 17:45:16.105 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data MongoDB repositories in DEFAULT mode. 
25-03-07 17:45:16.192 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 79 ms. Found 2 MongoDB repository interfaces. 
25-03-07 17:45:17.012 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http) 
25-03-07 17:45:17.023 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"] 
25-03-07 17:45:17.026 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat] 
25-03-07 17:45:17.026 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.80] 
25-03-07 17:45:17.144 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext 
25-03-07 17:45:17.145 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1912 ms 
25-03-07 17:45:17.633 [main] INFO  org.mongodb.driver.client - MongoClient with metadata {"driver": {"name": "mongo-java-driver|sync|spring-boot", "version": "4.6.1"}, "os": {"type": "Windows", "name": "Windows 10", "architecture": "amd64", "version": "10.0"}, "platform": "Java/Oracle Corporation/22.0.1+8-16", "application": {"name": "Aryson"}} created with settings MongoClientSettings{readPreference=primary, writeConcern=WriteConcern{w=majority, wTimeout=null ms, journal=null}, retryWrites=true, retryReads=true, readConcern=ReadConcern{level=null}, credential=MongoCredential{mechanism=null, userName='akashsahublue', source='admin', password=<hidden>, mechanismProperties=<hidden>}, streamFactoryFactory=null, commandListeners=[], codecRegistry=ProvidersCodecRegistry{codecProviders=[ValueCodecProvider{}, BsonValueCodecProvider{}, DBRefCodecProvider{}, DBObjectCodecProvider{}, DocumentCodecProvider{}, IterableCodecProvider{}, MapCodecProvider{}, GeoJsonCodecProvider{}, GridFSFileCodecProvider{}, Jsr310CodecProvider{}, JsonObjectCodecProvider{}, BsonCodecProvider{}, EnumCodecProvider{}, com.mongodb.Jep395RecordCodecProvider@1d3c112a]}, clusterSettings={hosts=[127.0.0.1:27017], srvHost=aryson.gn3ed.mongodb.net, srvServiceName=mongodb, mode=MULTIPLE, requiredClusterType=REPLICA_SET, requiredReplicaSetName='atlas-scm7ng-shard-0', serverSelector='null', clusterListeners='[]', serverSelectionTimeout='30000 ms', localThreshold='30000 ms'}, socketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=0, receiveBufferSize=0, sendBufferSize=0}, heartbeatSocketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=10000, receiveBufferSize=0, sendBufferSize=0}, connectionPoolSettings=ConnectionPoolSettings{maxSize=100, minSize=0, maxWaitTimeMS=120000, maxConnectionLifeTimeMS=0, maxConnectionIdleTimeMS=0, maintenanceInitialDelayMS=0, maintenanceFrequencyMS=60000, connectionPoolListeners=[], maxConnecting=2}, serverSettings=ServerSettings{heartbeatFrequencyMS=10000, minHeartbeatFrequencyMS=500, serverListeners='[]', serverMonitorListeners='[]'}, sslSettings=SslSettings{enabled=true, invalidHostNameAllowed=false, context=null}, applicationName='Aryson', compressorList=[], uuidRepresentation=JAVA_LEGACY, serverApi=null, autoEncryptionSettings=null, contextProvider=null} 
25-03-07 17:45:17.722 [cluster-ClusterId{value='67cae355c69b6756f20cc10d', description='null'}-srv-aryson.gn3ed.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server aryson-shard-00-01.gn3ed.mongodb.net:27017 to client view of cluster 
25-03-07 17:45:17.753 [cluster-ClusterId{value='67cae355c69b6756f20cc10d', description='null'}-srv-aryson.gn3ed.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server aryson-shard-00-00.gn3ed.mongodb.net:27017 to client view of cluster 
25-03-07 17:45:17.755 [cluster-ClusterId{value='67cae355c69b6756f20cc10d', description='null'}-srv-aryson.gn3ed.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server aryson-shard-00-02.gn3ed.mongodb.net:27017 to client view of cluster 
25-03-07 17:45:18.267 [main] INFO  org.mongodb.driver.cluster - No server chosen by com.mongodb.client.internal.MongoClientDelegate$1@226d5af0 from cluster description ClusterDescription{type=REPLICA_SET, connectionMode=MULTIPLE, serverDescriptions=[ServerDescription{address=aryson-shard-00-01.gn3ed.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}, ServerDescription{address=aryson-shard-00-02.gn3ed.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}, ServerDescription{address=aryson-shard-00-00.gn3ed.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}]}. Waiting for 30000 ms before timing out 
25-03-07 17:45:18.566 [cluster-rtt-ClusterId{value='67cae355c69b6756f20cc10d', description='null'}-aryson-shard-00-00.gn3ed.mongodb.net:27017] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:2, serverValue:10512}] to aryson-shard-00-00.gn3ed.mongodb.net:27017 
25-03-07 17:45:18.567 [cluster-rtt-ClusterId{value='67cae355c69b6756f20cc10d', description='null'}-aryson-shard-00-01.gn3ed.mongodb.net:27017] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:1, serverValue:11276}] to aryson-shard-00-01.gn3ed.mongodb.net:27017 
25-03-07 17:45:18.567 [cluster-ClusterId{value='67cae355c69b6756f20cc10d', description='null'}-aryson-shard-00-00.gn3ed.mongodb.net:27017] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:3, serverValue:10512}] to aryson-shard-00-00.gn3ed.mongodb.net:27017 
25-03-07 17:45:18.567 [cluster-ClusterId{value='67cae355c69b6756f20cc10d', description='null'}-aryson-shard-00-00.gn3ed.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=aryson-shard-00-00.gn3ed.mongodb.net:27017, type=REPLICA_SET_SECONDARY, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=433839700, setName='atlas-scm7ng-shard-0', canonicalAddress=aryson-shard-00-00.gn3ed.mongodb.net:27017, hosts=[aryson-shard-00-01.gn3ed.mongodb.net:27017, aryson-shard-00-00.gn3ed.mongodb.net:27017, aryson-shard-00-02.gn3ed.mongodb.net:27017], passives=[], arbiters=[], primary='aryson-shard-00-01.gn3ed.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='aps1-az1'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=null, setVersion=1, topologyVersion=TopologyVersion{processId=67cac435c3ec2203cc77e013, counter=4}, lastWriteDate=Fri Mar 07 17:45:19 IST 2025, lastUpdateTimeNanos=29428366028400} 
25-03-07 17:45:18.568 [cluster-ClusterId{value='67cae355c69b6756f20cc10d', description='null'}-aryson-shard-00-02.gn3ed.mongodb.net:27017] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:5, serverValue:9646}] to aryson-shard-00-02.gn3ed.mongodb.net:27017 
